"個案研判日","index","縣市別","鄉鎮","新增確診人數","累積確診人數","當日確診率","累積確診率","smooth","smooth_2"
2022-03-25,1,"台北市","0",0,0,0,0,0,0
2022-03-26,2,"台北市","0",0,0,0,0,0,0
2022-03-27,3,"台北市","全區",1,4935,0,0.002,0,0
2022-03-28,4,"台北市","全區",5,4940,0,0.002,0,0
2022-03-29,5,"台北市","全區",1,4941,0,0.002,0,0
2022-03-30,6,"台北市","全區",7,4948,0,0.002,0,0
2022-03-31,7,"台北市","全區",10,4958,0,0.002,0,0
2022-04-01,8,"台北市","全區",19,4977,0,0.002,0,0
2022-04-02,9,"台北市","全區",13,4990,0,0.002,0,0
2022-04-03,10,"台北市","全區",22,5012,0,0.002,0,0
2022-04-04,11,"台北市","全區",29,5041,0,0.002,0,0
2022-04-05,12,"台北市","全區",41,5082,0,0.002,0,0
2022-04-06,13,"台北市","全區",84,5166,0,0.002,0,2.04081632653061e-06
2022-04-07,14,"台北市","全區",61,5227,0,0.002,0,6.12244897959184e-06
2022-04-08,15,"台北市","全區",74,5301,0,0.002,0,1.22448979591837e-05
2022-04-09,16,"台北市","全區",67,5368,0,0.002,1.42857142857143e-05,2.04081632653061e-05
2022-04-10,17,"台北市","全區",97,5465,0,0.002,2.85714285714286e-05,3.06122448979592e-05
2022-04-11,18,"台北市","全區",101,5566,0,0.002,4.28571428571429e-05,4.28571428571429e-05
2022-04-12,19,"台北市","全區",142,5708,1e-04,0.002,5.71428571428571e-05,5.71428571428571e-05
2022-04-13,20,"台北市","全區",147,5855,1e-04,0.002,7.14285714285714e-05,7.14285714285714e-05
2022-04-14,21,"台北市","全區",145,6000,1e-04,0.002,8.57142857142857e-05,8.57142857142857e-05
2022-04-15,22,"台北市","全區",185,6185,1e-04,0.002,1e-04,0.000102040816326531
2022-04-16,23,"台北市","全區",223,6408,1e-04,0.003,0.000114285714285714,0.000120408163265306
2022-04-17,24,"台北市","全區",246,6654,1e-04,0.003,0.000128571428571429,0.000142857142857143
2022-04-18,25,"台北市","全區",285,6939,1e-04,0.003,0.000157142857142857,0.000169387755102041
2022-04-19,26,"台北市","全區",399,7338,2e-04,0.003,0.000185714285714286,0.000204081632653061
2022-04-20,27,"台北市","全區",618,7956,2e-04,0.003,0.000228571428571429,0.000246938775510204
2022-04-21,28,"台北市","全區",753,8709,3e-04,0.003,0.000271428571428571,0.000302040816326531
2022-04-22,29,"台北市","全區",831,9540,3e-04,0.004,0.000342857142857143,0.00036734693877551
2022-04-23,30,"台北市","全區",982,10522,4e-04,0.004,0.000414285714285714,0.000446938775510204
2022-04-24,31,"台北市","全區",1001,11523,4e-04,0.005,0.000514285714285714,0.000544897959183673
2022-04-25,32,"台北市","全區",1472,12995,6e-04,0.005,0.000614285714285714,0.000657142857142857
2022-04-26,33,"台北市","全區",1812,14807,7e-04,0.006,0.000742857142857143,0.000783673469387755
