"最高點日期","index","City","鄉鎮","新增確診人數","累積確診人數","當日確診率","smooth","最高點_smooth"
2022-06-06,74,"高雄市","三民區",1749,28330,0.0053,0.00374285714285714,0.00376326530612245
2022-06-10,78,"高雄市","仁武區",360,10465,0.0038,0.00407142857142857,0.00405714285714286
2022-05-30,67,"高雄市","內門區",38,453,0.0028,0.00308571428571429,0.00286326530612245
2022-06-08,76,"高雄市","六龜區",57,642,0.0047,0.00268571428571429,0.00271632653061224
2022-06-11,79,"高雄市","前金區",315,4136,0.012,0.00892857142857143,0.00883877551020408
2022-06-03,71,"高雄市","前鎮區",837,15287,0.0046,0.00488571428571429,0.00464081632653061
2022-06-08,76,"高雄市","大寮區",980,13151,0.0088,0.00528571428571429,0.00515714285714286
2022-06-07,75,"高雄市","大樹區",184,3586,0.0045,0.00372857142857143,0.00383061224489796
2022-05-31,68,"高雄市","大社區",198,2555,0.0059,0.00474285714285714,0.00468571428571429
2022-05-26,63,"高雄市","小港區",1100,9310,0.0071,0.00464285714285714,0.00458367346938776
2022-06-07,75,"高雄市","岡山區",433,9599,0.0046,0.004,0.00400612244897959
2022-06-06,74,"高雄市","左營區",849,15592,0.0044,0.00372857142857143,0.00373061224489796
2022-06-09,77,"高雄市","彌陀區",82,1831,0.0044,0.00467142857142857,0.00439387755102041
2022-05-28,65,"高雄市","新興區",162,2634,0.0033,0.00312857142857143,0.00314489795918367
2022-06-11,79,"高雄市","旗山區",165,2315,0.0047,0.00315714285714286,0.00313265306122449
2022-06-01,69,"高雄市","旗津區",113,1840,0.0042,0.00462857142857143,0.0047
2022-06-06,74,"高雄市","杉林區",46,559,0.0041,0.00275714285714286,0.00286530612244898
2022-06-06,74,"高雄市","林園區",407,5518,0.0059,0.00394285714285714,0.00404489795918367
2022-06-16,84,"高雄市","桃源區",29,601,0.0068,0.00538571428571429,0.00530408163265306
2022-06-06,74,"高雄市","梓官區",239,3630,0.0068,0.00462857142857143,0.00479795918367347
2022-05-31,68,"高雄市","楠梓區",1019,14031,0.0054,0.00484285714285714,0.00475918367346939
2022-06-04,72,"高雄市","橋頭區",150,3042,0.0037,0.00398571428571429,0.0038734693877551
2022-06-06,74,"高雄市","永安區",70,905,0.0051,0.00335714285714286,0.00333265306122449
2022-05-27,64,"高雄市","湖內區",125,1703,0.0042,0.00364285714285714,0.00362244897959184
2022-05-23,60,"高雄市","燕巢區",183,2102,0.0063,0.00542857142857143,0.00558571428571429
2022-06-12,80,"高雄市","田寮區",14,406,0.0021,0.0025,0.00247959183673469
2022-05-29,66,"高雄市","甲仙區",8,102,0.0014,0.0017,0.00152244897959184
2022-06-11,79,"高雄市","美濃區",136,1830,0.0036,0.0023,0.00226734693877551
2022-05-28,65,"高雄市","苓雅區",632,8667,0.0039,0.00362857142857143,0.00356734693877551
2022-06-07,75,"高雄市","茂林區",9,176,0.0047,0.00448571428571429,0.00426938775510204
2022-05-21,58,"高雄市","茄萣區",123,1156,0.0042,0.00382857142857143,0.00371632653061224
2022-05-27,64,"高雄市","路竹區",316,3267,0.0062,0.0045,0.00448571428571429
2022-05-25,62,"高雄市","那瑪夏區",24,120,0.0076,0.00514285714285714,0.0044734693877551
2022-06-09,77,"高雄市","阿蓮區",112,2326,0.004,0.00365714285714286,0.00356734693877551
2022-06-07,75,"高雄市","鳥松區",196,3696,0.0045,0.00335714285714286,0.00338367346938776
2022-06-06,74,"高雄市","鳳山區",1745,33759,0.0049,0.00412857142857143,0.0041469387755102
2022-06-08,76,"高雄市","鹽埕區",84,1912,0.0037,0.00344285714285714,0.00335102040816327
2022-06-02,70,"高雄市","鼓山區",601,9073,0.0043,0.00371428571428571,0.00371224489795918
