"最高點日期","index","City","鄉鎮","新增確診人數","累積確診人數","當日確診率","smooth","最高點_smooth"
2022-05-20,57,"新北市","三峽區",586,9820,0.0051,0.00474285714285714,0.00463673469387755
2022-05-24,61,"新北市","三芝區",85,1217,0.0038,0.00277142857142857,0.00271224489795918
2022-05-16,53,"新北市","三重區",1848,37726,0.0049,0.00727142857142857,0.00723061224489796
2022-05-14,51,"新北市","中和區",2777,35358,0.0069,0.00664285714285714,0.00662244897959184
2022-05-16,53,"新北市","五股區",502,7641,0.0055,0.00637142857142857,0.00629795918367347
2022-05-18,55,"新北市","八里區",214,2788,0.0053,0.00497142857142857,0.00492040816326531
2022-05-17,54,"新北市","土城區",1772,20775,0.0075,0.00634285714285714,0.00627959183673469
2022-05-25,62,"新北市","坪林區",16,178,0.0024,0.00161428571428571,0.00158571428571429
2022-05-15,52,"新北市","平溪區",13,114,0.003,0.00227142857142857,0.00213673469387755
2022-05-16,53,"新北市","新店區",1418,23160,0.0048,0.00541428571428571,0.00538775510204082
2022-05-17,54,"新北市","新莊區",3038,37919,0.0073,0.00661428571428571,0.00634897959183673
2022-05-16,53,"新北市","板橋區",3133,47381,0.0057,0.00652857142857143,0.00641632653061225
2022-05-18,55,"新北市","林口區",576,7618,0.0046,0.00417142857142857,0.00405102040816327
2022-05-17,54,"新北市","樹林區",1362,14324,0.0076,0.00615714285714286,0.0060734693877551
2022-05-16,53,"新北市","永和區",767,15978,0.0036,0.00547142857142857,0.00540204081632653
2022-05-16,53,"新北市","汐止區",1329,17759,0.0065,0.00681428571428571,0.00674285714285714
2022-05-16,53,"新北市","泰山區",426,5967,0.0055,0.0062,0.00633265306122449
2022-05-15,52,"新北市","淡水區",697,10543,0.0038,0.00465714285714286,0.00448979591836735
2022-05-15,52,"新北市","深坑區",128,1879,0.0055,0.0059,0.00578979591836735
2022-05-20,57,"新北市","烏來區",39,350,0.0062,0.00438571428571429,0.00387755102040816
2022-05-15,52,"新北市","瑞芳區",157,2815,0.0041,0.00454285714285714,0.0044265306122449
2022-05-10,47,"新北市","石碇區",41,199,0.0056,0.00295714285714286,0.00276734693877551
2022-05-18,55,"新北市","石門區",30,240,0.0027,0.00187142857142857,0.00183673469387755
2022-05-19,56,"新北市","萬里區",86,965,0.0041,0.00338571428571429,0.00331020408163265
2022-05-16,53,"新北市","蘆洲區",892,15821,0.0045,0.00594285714285714,0.00581020408163265
2022-05-22,59,"新北市","貢寮區",13,266,0.0011,0.00135714285714286,0.00139183673469388
2022-05-14,51,"新北市","金山區",71,864,0.0034,0.00307142857142857,0.00310204081632653
2022-05-17,54,"新北市","雙溪區",19,188,0.0023,0.00215714285714286,0.00197959183673469
2022-05-19,56,"新北市","鶯歌區",558,7590,0.0063,0.0053,0.00514897959183673
