"最高點日期","index","City","鄉鎮","新增確診人數","累積確診人數","當日確診率","smooth","最高點_smooth"
2022-05-25,62,"台中市","中區",75,982,0.0043,0.00368571428571429,0.00365102040816327
2022-06-07,75,"台中市","北區",548,13982,0.0039,0.00334285714285714,0.0034265306122449
2022-06-02,70,"台中市","北屯區",974,19608,0.0034,0.00302857142857143,0.00304897959183673
2022-05-27,64,"台中市","南區",447,6831,0.0036,0.00355714285714286,0.00351224489795918
2022-06-06,74,"台中市","南屯區",719,14001,0.0041,0.00335714285714286,0.00336734693877551
2022-06-07,75,"台中市","后里區",226,3995,0.0042,0.00324285714285714,0.0032469387755102
2022-06-11,79,"台中市","和平區",35,777,0.0032,0.00277142857142857,0.00273469387755102
2022-06-08,76,"台中市","外埔區",173,2544,0.0055,0.00431428571428571,0.00418367346938775
2022-06-01,69,"台中市","大安區",79,1029,0.0043,0.0036,0.00353469387755102
2022-06-02,70,"台中市","大甲區",313,4883,0.0042,0.00382857142857143,0.00386326530612245
2022-06-07,75,"台中市","大肚區",302,5116,0.0054,0.00398571428571429,0.00411428571428571
2022-06-07,75,"台中市","大里區",946,19718,0.0045,0.00398571428571429,0.00398775510204082
2022-06-02,70,"台中市","大雅區",458,7661,0.0048,0.00442857142857143,0.00435510204081633
2022-06-01,69,"台中市","太平區",1004,14111,0.0051,0.00388571428571429,0.00397551020408163
2022-05-31,68,"台中市","新社區",60,798,0.0026,0.0022,0.00224489795918367
2022-05-28,65,"台中市","東勢區",162,1670,0.0034,0.00298571428571429,0.00276326530612245
2022-06-06,74,"台中市","東區",378,7037,0.005,0.00388571428571429,0.00383061224489796
2022-05-31,68,"台中市","梧棲區",348,5289,0.0059,0.00487142857142857,0.00476530612244898
2022-05-31,68,"台中市","沙鹿區",521,7735,0.0054,0.00425714285714286,0.00423061224489796
2022-05-28,65,"台中市","清水區",346,5353,0.0039,0.00371428571428571,0.00364489795918367
2022-06-11,79,"台中市","潭子區",430,10643,0.004,0.00344285714285714,0.00348775510204082
2022-06-02,70,"台中市","烏日區",351,6112,0.0045,0.00421428571428571,0.00430204081632653
2022-06-08,76,"台中市","石岡區",48,875,0.0034,0.00314285714285714,0.00294489795918367
2022-06-07,75,"台中市","神岡區",313,6057,0.0049,0.0038,0.00395510204081633
2022-05-27,64,"台中市","西區",353,5802,0.0032,0.00331428571428571,0.0032530612244898
2022-05-31,68,"台中市","西屯區",1060,16867,0.0046,0.00384285714285714,0.00380816326530612
2022-06-07,75,"台中市","豐原區",635,12408,0.0039,0.00345714285714286,0.00351632653061224
2022-05-31,68,"台中市","霧峰區",345,4550,0.0054,0.00417142857142857,0.00419795918367347
2022-06-01,69,"台中市","龍井區",335,5843,0.0043,0.00407142857142857,0.00406326530612245
