"最高點日期","index","City","鄉鎮","新增確診人數","累積確診人數","當日確診率","smooth","最高點_smooth"
2022-06-11,79,"台南市","七股區",77,1291,0.0036,0.00261428571428571,0.00265918367346939
2022-06-15,83,"台南市","下營區",61,1634,0.0027,0.00282857142857143,0.00269183673469388
2022-06-06,74,"台南市","中西區",293,5090,0.0038,0.00298571428571429,0.00293061224489796
2022-05-30,67,"台南市","仁德區",405,5268,0.0053,0.00402857142857143,0.00392244897959184
2022-05-27,64,"台南市","佳里區",175,1927,0.003,0.00294285714285714,0.00291632653061225
2022-06-03,71,"台南市","六甲區",64,1057,0.003,0.00297142857142857,0.00289795918367347
2022-05-27,64,"台南市","北區",547,6266,0.0043,0.00354285714285714,0.00351428571428571
2022-06-13,81,"台南市","北門區",18,366,0.0017,0.0013,0.00133673469387755
2022-06-23,91,"台南市","南化區",22,486,0.0027,0.002,0.00196734693877551
2022-05-31,68,"台南市","南區",522,8038,0.0043,0.00347142857142857,0.00356122448979592
2022-05-27,64,"台南市","善化區",167,2587,0.0032,0.00362857142857143,0.00369591836734694
2022-06-05,73,"台南市","大內區",13,400,0.0015,0.00218571428571429,0.00211224489795918
2022-06-03,71,"台南市","學甲區",63,1066,0.0025,0.0023,0.00225102040816327
2022-05-31,68,"台南市","安南區",989,12713,0.005,0.00387142857142857,0.00389387755102041
2022-06-11,79,"台南市","安定區",132,2854,0.0044,0.00324285714285714,0.00331224489795918
2022-05-31,68,"台南市","安平區",300,4070,0.0045,0.00307142857142857,0.00315918367346939
2022-06-01,69,"台南市","官田區",79,1032,0.0038,0.00294285714285714,0.0029469387755102
2022-05-27,64,"台南市","將軍區",25,414,0.0013,0.00175714285714286,0.00164897959183673
2022-07-12,110,"台南市","山上區",32,1220,0.0046,0.00524285714285714,0.00434489795918367
2022-05-26,63,"台南市","左鎮區",19,128,0.0043,0.00335714285714286,0.00320816326530612
2022-06-08,76,"台南市","後壁區",86,1115,0.0039,0.00262857142857143,0.00246530612244898
2022-05-27,64,"台南市","新化區",134,2108,0.0032,0.00364285714285714,0.00369795918367347
2022-05-28,65,"台南市","新市區",207,2531,0.0055,0.0048,0.00469183673469388
2022-05-31,68,"台南市","新營區",283,3584,0.0038,0.00344285714285714,0.00344489795918367
2022-06-09,77,"台南市","東區",558,14030,0.0031,0.00307142857142857,0.003
2022-06-11,79,"台南市","東山區",33,851,0.0017,0.00178571428571429,0.0017
2022-06-03,71,"台南市","柳營區",75,1302,0.0037,0.0036,0.00355714285714286
2022-06-02,70,"台南市","楠西區",29,228,0.0032,0.00202857142857143,0.00199387755102041
2022-06-11,79,"台南市","歸仁區",244,6734,0.0036,0.00345714285714286,0.00347142857142857
2022-05-26,63,"台南市","永康區",1284,14470,0.0055,0.00452857142857143,0.00445714285714286
2022-06-04,72,"台南市","玉井區",53,548,0.004,0.00304285714285714,0.00289591836734694
2022-06-12,80,"台南市","白河區",37,1324,0.0014,0.00282857142857143,0.00278571428571429
2022-05-31,68,"台南市","西港區",115,1160,0.0047,0.00292857142857143,0.00311428571428571
2022-06-01,69,"台南市","關廟區",123,2247,0.0037,0.00408571428571429,0.00402448979591837
2022-06-01,69,"台南市","鹽水區",61,1010,0.0025,0.0028,0.00274285714285714
2022-06-01,69,"台南市","麻豆區",168,2218,0.0039,0.00308571428571429,0.00310204081632653
2022-06-07,75,"台南市","龍崎區",10,109,0.0028,0.00177142857142857,0.00167142857142857
