index,個案研判日,縣市別,鄉鎮,新增確診人數,累積確診人數,當日確診率
45,2022-08-26,台北市,內湖區,334,55186,0.0012
46,2022-08-26,台北市,文山區,397,53770,0.0015
47,2022-08-26,台北市,士林區,339,53599,0.0013
48,2022-08-26,台北市,北投區,343,52126,0.0014
49,2022-08-26,台北市,中山區,284,46999,0.0013
50,2022-08-26,台北市,信義區,244,45922,0.0012
51,2022-08-26,台北市,大安區,322,44729,0.0011
52,2022-08-26,台北市,萬華區,178,43812,0.001
53,2022-08-26,台北市,松山區,192,34737,0.001
54,2022-08-26,台北市,南港區,172,26515,0.0015
55,2022-08-26,台北市,大同區,149,25908,0.0012
56,2022-08-26,台北市,中正區,212,24584,0.0014
433,2022-08-25,台北市,內湖區,381,54852,0.0014
434,2022-08-25,台北市,文山區,274,53373,0.0011
435,2022-08-25,台北市,士林區,329,53260,0.0012
436,2022-08-25,台北市,北投區,285,51783,0.0012
437,2022-08-25,台北市,中山區,254,46715,0.0012
438,2022-08-25,台北市,信義區,283,45678,0.0014
439,2022-08-25,台北市,大安區,292,44407,0.001
440,2022-08-25,台北市,萬華區,181,43634,0.001
441,2022-08-25,台北市,松山區,236,34545,0.0012
442,2022-08-25,台北市,南港區,146,26343,0.0013
443,2022-08-25,台北市,大同區,127,25759,0.0011
444,2022-08-25,台北市,中正區,138,24372,0.0009
819,2022-08-24,台北市,內湖區,422,54471,0.0015
820,2022-08-24,台北市,文山區,352,53099,0.0014
821,2022-08-24,台北市,士林區,338,52931,0.0013
822,2022-08-24,台北市,北投區,317,51498,0.0013
823,2022-08-24,台北市,中山區,317,46461,0.0015
824,2022-08-24,台北市,信義區,299,45395,0.0014
825,2022-08-24,台北市,大安區,370,44115,0.0013
826,2022-08-24,台北市,萬華區,186,43453,0.0011
827,2022-08-24,台北市,松山區,213,34309,0.0011
828,2022-08-24,台北市,南港區,163,26197,0.0014
829,2022-08-24,台北市,大同區,144,25632,0.0012
830,2022-08-24,台北市,中正區,167,24234,0.0011
1205,2022-08-23,台北市,內湖區,393,54049,0.0014
1206,2022-08-23,台北市,文山區,365,52747,0.0014
1207,2022-08-23,台北市,士林區,393,52593,0.0015
1208,2022-08-23,台北市,北投區,306,51181,0.0013
1209,2022-08-23,台北市,中山區,273,46144,0.0013
1210,2022-08-23,台北市,信義區,340,45096,0.0016
1211,2022-08-23,台北市,大安區,290,43745,0.001
1212,2022-08-23,台北市,萬華區,170,43267,0.001
1213,2022-08-23,台北市,松山區,250,34096,0.0013
1214,2022-08-23,台北市,南港區,148,26034,0.0013
1215,2022-08-23,台北市,大同區,130,25488,0.0011
1216,2022-08-23,台北市,中正區,146,24067,0.001
1587,2022-08-22,台北市,內湖區,364,53656,0.0013
1588,2022-08-22,台北市,文山區,333,52382,0.0013
1589,2022-08-22,台北市,士林區,363,52200,0.0014
1590,2022-08-22,台北市,北投區,251,50875,0.001
1591,2022-08-22,台北市,中山區,325,45871,0.0015
1592,2022-08-22,台北市,信義區,271,44756,0.0013
1593,2022-08-22,台北市,大安區,329,43455,0.0011
1594,2022-08-22,台北市,萬華區,169,43097,0.001
1595,2022-08-22,台北市,松山區,258,33846,0.0013
1596,2022-08-22,台北市,南港區,133,25886,0.0012
1597,2022-08-22,台北市,大同區,124,25358,0.001
1598,2022-08-22,台北市,中正區,150,23921,0.001
1976,2022-08-21,台北市,內湖區,200,53292,0.0007
1977,2022-08-21,台北市,文山區,229,52049,0.0009
1978,2022-08-21,台北市,士林區,231,51837,0.0009
1979,2022-08-21,台北市,北投區,170,50624,0.0007
1980,2022-08-21,台北市,中山區,190,45546,0.0009
1981,2022-08-21,台北市,信義區,139,44485,0.0007
1982,2022-08-21,台北市,大安區,165,43126,0.0006
1983,2022-08-21,台北市,萬華區,132,42928,0.0008
1984,2022-08-21,台北市,松山區,126,33588,0.0007
1985,2022-08-21,台北市,南港區,127,25753,0.0011
1986,2022-08-21,台北市,大同區,82,25234,0.0007
1987,2022-08-21,台北市,中正區,90,23771,0.0006
2351,2022-08-20,台北市,內湖區,342,53092,0.0012
2352,2022-08-20,台北市,文山區,263,51820,0.001
2353,2022-08-20,台北市,士林區,299,51606,0.0011
